Fiscal Year,2010,2011,2012,2013,2014
Period Ended,28 Sep 2010,28 Sep 2011,28 Sep 2012,28 Sep 2013,28 Sep 2014
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,538.93,685.45,604.00,555.01,630.84
Total Revenue,538.93,685.45,604.00,555.01,630.84
"Selling/General/Admin. Expenses, Total",48.75,63.72,60.08,44.41,52.02
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-4.30,-0.08,-2.56,-57.92,-0.71
"Other Operating Expenses, Total",3.53,19.08,7.68,68.34,11.56
Total Operating Expense,419.62,577.70,522.78,483.96,552.75
Operating Income,119.31,107.75,81.22,71.06,78.09
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,119.31,107.75,81.22,71.06,78.09
Provision for Income Taxes,2.77,4.09,3.10,-7.30,14.41
Net Income After Taxes,116.54,103.66,78.12,78.36,63.68
Net Income Before Extra. Items,116.54,103.66,78.12,77.72,61.93
Net Income,116.54,103.66,78.12,77.72,61.93
Income Available to Com Excl ExtraOrd,116.54,103.66,78.12,77.72,61.93
Income Available to Com Incl ExtraOrd,116.54,103.66,78.12,77.72,61.93
Diluted Net Income,116.54,103.66,78.12,77.72,61.93
Diluted Weighted Average Shares,1158.14,1310.56,1322.76,1591.40,2072.22
Diluted EPS Excluding ExtraOrd Items,0.10,0.08,0.06,0.05,0.03
DPS - Common Stock Primary Issue,0.03,0.03,0.01,0.01,0
Diluted Normalised EPS,0.10,0.08,0.06,0.04,0.03
