Fiscal Year,2010,2011,2012,2013,2014
Period Ended,28 Sep 2010,28 Sep 2011,28 Sep 2012,28 Sep 2013,28 Sep 2014
Source,ARS,ARS,ARS,ARS,ARS
Cash,29.12,24.16,51.42,53.77,129.09
Short Term Investments,0,0,0,20.81,0.00
Cash and Short Term Investments,29.12,24.16,51.42,74.58,129.09
"Accounts Receivable - Trade, Net",38.66,69.73,134.43,141.48,144.76
"Total Receivables, Net",111.88,193.81,252.84,167.46,190.01
Prepaid Expenses,27.39,18.99,24.03,39.07,87.01
"Other Current Assets, Total",61.13,47.89,64.93,32.94,41.74
Total Current Assets,265.13,345.24,472.63,581.79,857.03
"Property/Plant/Equipment, Total - Gross",582.84,723.17,784.80,1018.07,928.50
"Accumulated Depreciation, Total",-100.12,-158.83,-243.22,-382.17,-325.85
"Property/Plant/Equipment, Total - Net",482.72,564.34,541.58,635.90,602.66
"Goodwill, Net",86.87,89.43,95.72,95.72,95.72
"Intangibles, Net",184.51,186.91,233.83,1222.67,1222.67
Long Term Investments,4.41,3.17,3.32,3.22,8.01
Total Assets,1181.63,1365.44,1501.30,2768.39,2807.61
Accounts Payable,15.07,18.58,19.82,17.88,16.60
Accrued Expenses,13.04,8.08,15.62,14.41,27.34
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",4.20,6.11,7.77,5.44,10.19
Total Current Liabilities,167.08,166.45,195.90,579.84,357.74
Total Long Term Debt,270.94,363.66,426.28,668.92,908.51
Total Debt,405.72,497.34,578.98,1211.04,1212.11
Deferred Income Tax,67.20,62.79,60.69,316.51,307.47
"Other Liabilities, Total",0,0,2.93,35.32,24.87
Total Liabilities,505.22,592.89,685.80,1609.01,1600.76
"Common Stock, Total",50.12,51.11,51.16,102.32,102.32
Retained Earnings (Accumulated Deficit),370.18,434.15,475.50,524.79,574.01
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),4.32,5.86,6.61,7.05,7.88
"Other Equity, Total",0,0,0.00,3.84,4.69
Total Equity,676.41,772.55,815.50,1159.38,1206.85
Total Liabilities & Shareholders' Equity,1181.63,1365.44,1501.30,2768.39,2807.61
Total Common Shares Outstanding,1295.86,1321.50,1036.11,2072.22,2072.22
"Tangible Book Value per Share, Common Eq",0.31,0.38,0.47,-0.08,-0.05
