Fiscal Year,2011,2012,2013,2014,2015
Period Ended,31 Dec 2011,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,6.13,12.28,15.35,15.89,32.02
Depreciation/Depletion,6.86,6.50,0.00,7.53,24.90
Non-Cash Items,0.78,2.52,-15.89,-2.14,-23.98
Cash Taxes Paid,0.77,0.21,0.00,0.61,0.53
Changes in Working Capital,-8.25,13.70,0.05,27.17,-14.98
Cash from Operating Activities,5.52,34.99,-0.48,50.61,18.59
Capital Expenditures,-10.16,-28.10,-0.01,-168.66,-34.75
"Other Investing Cash Flow Items, Total",35.72,22.41,-27.97,-34.96,44.51
Cash from Investing Activities,25.55,-5.68,-27.98,-203.61,9.76
Total Cash Dividends Paid,0,-0.97,0,0,-9.96
"Issuance (Retirement) of Stock, Net",0,0,19.76,36.97,0.00
Cash from Financing Activities,-27.81,-19.30,21.36,189.76,-34.81
Foreign Exchange Effects,0.06,-0.37,-0.28,-0.23,-0.09
Net Change in Cash,3.34,9.64,-7.37,36.53,-6.56
