Fiscal Year,2011,2012,2013,2014,2015
Period Ended,31 Dec 2011,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,48.66,82.45,0.00,65.51,69.65
Total Revenue,48.66,82.45,0.00,65.51,69.65
"Selling/General/Admin. Expenses, Total",5.02,7.01,0.53,8.85,8.27
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-3.43,-2.81,0,21.67,18.54
"Other Operating Expenses, Total",-0.02,-0.09,0.00,-9.90,6.29
Total Operating Expense,40.55,65.48,-0.74,69.39,67.91
Operating Income,8.11,16.97,0.74,-3.88,1.73
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-2.98,14.61,19.33,30.29
"Other, Net",0,0,0,0,0
Net Income Before Taxes,8.11,14.00,15.35,15.46,32.02
Provision for Income Taxes,1.98,1.72,0.00,-0.43,0.85
Net Income After Taxes,6.13,12.28,15.35,15.89,31.17
Net Income Before Extra. Items,6.13,12.28,15.35,15.89,31.17
Net Income,6.13,12.28,15.35,15.89,31.17
Income Available to Com Excl ExtraOrd,6.13,12.28,15.35,15.89,31.17
Income Available to Com Incl ExtraOrd,6.13,12.28,15.35,15.89,31.17
Diluted Net Income,6.13,12.28,15.35,15.89,31.17
Diluted Weighted Average Shares,216.99,217.20,452.38,557.47,724.54
Diluted EPS Excluding ExtraOrd Items,0.03,0.06,0.03,0.03,0.04
DPS - Common Stock Primary Issue,0.00,0.01,0.01,0.01,0.00
Diluted Normalised EPS,0.02,0.05,0.03,0.05,0.07
