Fiscal Year,2011,2012,2013,2014,2015
Period Ended,31 Dec 2011,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,8.15,0.77,38.63,37.56
Short Term Investments,10.83,0.00,0.00,3.90,1.32
Cash and Short Term Investments,31.71,8.15,0.77,42.53,38.87
"Accounts Receivable - Trade, Net",13.39,0.00,0,15.56,8.11
"Total Receivables, Net",13.41,0.00,1.35,21.51,17.52
Prepaid Expenses,11.66,0,0,8.61,9.64
"Other Current Assets, Total",0.29,0.00,0.00,1.90,0.07
Total Current Assets,57.19,8.15,2.12,74.61,66.16
"Property/Plant/Equipment, Total - Gross",99.86,0,0.01,360.00,365.50
"Accumulated Depreciation, Total",-0.61,0,-0.00,-5.78,-42.63
"Property/Plant/Equipment, Total - Net",99.25,0.00,0.00,354.22,322.88
"Goodwill, Net",0,0,0,0.00,0.00
"Intangibles, Net",0,0.00,0.00,0.83,0.22
Long Term Investments,1.84,0.01,43.74,116.04,141.81
Total Assets,168.12,8.15,45.86,545.70,531.07
Accounts Payable,4.63,0.01,0.00,8.79,9.23
Accrued Expenses,2.43,0,0.15,12.02,4.79
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",13.54,0.00,2.74,19.55,6.33
Total Current Liabilities,62.56,0.01,2.89,112.16,98.56
Total Long Term Debt,29.64,0.00,0.00,176.41,154.63
Total Debt,71.60,0.00,0.00,248.20,232.84
Deferred Income Tax,1.65,0.00,0.00,2.83,2.18
"Other Liabilities, Total",0.00,0,0,0,0
Total Liabilities,93.86,0.01,2.89,291.39,255.37
"Common Stock, Total",68.71,10.66,30.42,188.15,188.52
Retained Earnings (Accumulated Deficit),16.94,-2.51,12.84,28.87,50.13
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),-11.03,0,0,0,0
"Other Equity, Total",-0.36,0.00,-0.28,0.54,0.30
Total Equity,74.27,8.14,42.98,254.31,275.70
Total Liabilities & Shareholders' Equity,168.12,8.15,45.86,545.70,531.07
Total Common Shares Outstanding,215.91,216.45,217.69,671.43,672.45
"Tangible Book Value per Share, Common Eq",0.34,0.04,0.20,0.32,0.36
