Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,19.40,17.75,17.49,24.92,43.11
Short Term Investments,1.40,1.35,0.91,0.43,0.00
Cash and Short Term Investments,20.80,19.11,18.40,25.34,43.11
"Accounts Receivable - Trade, Net",0.30,0.60,0.42,0.61,0.94
"Total Receivables, Net",1.06,1.03,1.06,0.61,1.97
Prepaid Expenses,0.38,0.55,0.72,1.10,0.87
"Other Current Assets, Total",0.09,0.07,0.69,0.57,0.31
Total Current Assets,22.33,20.75,20.86,27.63,46.25
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0,0,0
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,453.00,463.10,504.90,605.28,719.58
Total Assets,477.58,486.76,528.88,636.38,769.03
Accounts Payable,0.46,0.23,0.70,0.28,0.79
Accrued Expenses,2.51,2.56,2.46,3.44,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",12.95,12.28,11.40,13.82,20.45
Total Current Liabilities,39.50,36.12,111.03,17.53,21.23
Total Long Term Debt,174.14,174.42,96.74,231.45,264.63
Total Debt,197.73,195.48,193.22,231.45,264.63
Deferred Income Tax,4.07,7.52,15.50,28.06,32.19
"Other Liabilities, Total",0.00,0,0,5.04,9.24
Total Liabilities,217.71,218.06,223.27,282.08,327.29
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",259.88,268.69,305.61,354.29,441.74
Total Equity,259.88,268.69,305.61,354.29,441.74
Total Liabilities & Shareholders' Equity,477.58,486.76,528.88,636.38,769.03
Total Common Shares Outstanding,696.05,704.85,710.87,716.73,955.55
"Tangible Book Value per Share, Common Eq",0.37,0.38,0.43,0.49,0.46
