Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,5.08,6.22,34.40,46.16,-4.97
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,-0.80,0.51,-27.36,-40.05,12.59
Cash Taxes Paid,0,0.14,0.25,0.19,1.26
Changes in Working Capital,24.37,22.54,22.16,23.06,18.87
Cash from Operating Activities,28.66,29.28,29.20,29.18,26.49
Capital Expenditures,0,0,0,0,0
"Other Investing Cash Flow Items, Total",-0.50,-0.31,-0.47,-31.57,-38.88
Cash from Investing Activities,-0.50,-0.31,-0.47,-31.57,-38.88
Total Cash Dividends Paid,-24.88,-24.38,-23.23,-22.80,-22.73
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,89.37
Cash from Financing Activities,-28.57,-30.66,-29.44,9.34,30.16
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-0.41,-1.70,-0.71,6.95,17.77
