Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,34.40,34.96,34.81,35.27,37.82
Total Revenue,34.40,34.96,34.81,35.27,37.82
"Selling/General/Admin. Expenses, Total",1.02,1.19,1.10,1.37,2.29
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,1.15,-2.18
"Other Operating Expenses, Total",0,0,0,2.73,0.00
Total Operating Expense,0.29,1.98,-30.56,-46.94,12.17
Operating Income,34.11,32.98,65.37,82.20,25.66
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,34.11,32.98,65.37,82.20,25.66
Provision for Income Taxes,3.47,3.38,8.34,13.30,5.93
Net Income After Taxes,30.63,29.60,57.03,68.90,19.72
Net Income Before Extra. Items,30.63,29.60,57.03,68.90,19.72
Net Income,30.63,29.60,57.03,68.90,19.72
Income Available to Com Excl ExtraOrd,30.63,29.60,57.03,68.90,19.72
Income Available to Com Incl ExtraOrd,30.63,29.60,57.03,68.90,19.72
Diluted Net Income,30.63,29.60,57.03,68.90,19.72
Diluted Weighted Average Shares,693.28,701.14,707.71,713.61,709.17
Diluted EPS Excluding ExtraOrd Items,0.04,0.04,0.08,0.10,0.03
DPS - Common Stock Primary Issue,0.04,0.03,0.03,0.03,0.03
Diluted Normalised EPS,0.04,0.04,0.08,0.10,0.03
