Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,140.28,114.11,85.65,260.23,178.69
Depreciation/Depletion,346.91,341.33,280.40,307.13,325.51
Non-Cash Items,89.25,175.32,52.29,-60.47,156.43
Cash Taxes Paid,9.39,19.67,58.23,18.87,-43.03
Changes in Working Capital,-476.58,-100.75,-138.71,-140.36,79.30
Cash from Operating Activities,102.06,532.60,283.27,371.23,743.86
Capital Expenditures,-214.93,-217.89,-265.90,-282.27,-185.66
"Other Investing Cash Flow Items, Total",45.86,-97.22,-74.54,-72.90,-134.95
Cash from Investing Activities,-169.06,-315.11,-340.43,-355.17,-320.61
Total Cash Dividends Paid,-47.46,-122.50,-11.54,-65.75,-51.92
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,-5.79
Cash from Financing Activities,-37.20,-212.98,88.71,32.32,-231.20
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-104.20,4.51,31.55,48.38,192.05
