Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,708.92,386.84,292.55,643.89,1340.87
Total Revenue,708.92,386.84,292.55,643.89,1340.87
"Selling/General/Admin. Expenses, Total",24.16,28.19,28.98,38.41,85.40
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,0.00,-0.01,-0.01,0.00
"Other Operating Expenses, Total",-3.94,-14.26,-27.35,-9.89,-14.09
Total Operating Expense,599.44,348.02,205.67,468.39,905.68
Operating Income,109.48,38.82,86.88,175.50,435.19
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.25,-2.48,-2.00,-1.51,-0.36
"Other, Net",0,0,0,0,0
Net Income Before Taxes,107.23,36.34,84.88,173.99,434.83
Provision for Income Taxes,38.16,12.61,30.12,60.41,158.10
Net Income After Taxes,69.07,23.73,54.75,113.57,276.73
Net Income Before Extra. Items,27.26,26.94,54.75,113.58,276.82
Net Income,100.94,44.85,54.75,113.58,276.82
Income Available to Com Excl ExtraOrd,27.26,26.94,54.75,113.58,276.82
Income Available to Com Incl ExtraOrd,100.94,44.85,54.75,113.58,276.82
Diluted Net Income,100.94,44.85,54.75,113.58,276.82
Diluted Weighted Average Shares,512.31,512.31,512.31,512.31,512.31
Diluted EPS Excluding ExtraOrd Items,0.05,0.05,0.11,0.22,0.54
DPS - Common Stock Primary Issue,0.10,0.07,0.05,0.10,0.07
Diluted Normalised EPS,0.05,0.05,0.11,0.22,0.54
