Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,Interim Report,ARS,ARS,ARS
Cash,0,7.38,14.19,5.62,8.18
Short Term Investments,0,32.00,21.24,0.14,3.15
Cash and Short Term Investments,3.87,39.38,35.44,5.76,11.34
"Accounts Receivable - Trade, Net",5.40,5.00,6.79,6.87,7.42
"Total Receivables, Net",5.40,7.78,11.30,20.09,16.13
Prepaid Expenses,0,0.17,0.71,1.24,0.96
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,9.36,47.41,47.58,27.24,28.79
"Property/Plant/Equipment, Total - Gross",0,3.28,4.52,43.91,50.06
"Accumulated Depreciation, Total",0,-1.96,-2.58,-9.19,-18.82
"Property/Plant/Equipment, Total - Net",1.15,1.33,1.94,34.73,31.24
"Goodwill, Net",0,21.16,41.95,86.68,92.55
"Intangibles, Net",5.43,0.92,2.01,3.21,3.64
Long Term Investments,0,0,0,0.31,0.02
Total Assets,15.93,71.20,93.73,155.88,159.84
Accounts Payable,0,0.15,0.21,0.85,1.26
Accrued Expenses,0,1.69,4.19,6.49,6.64
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",2.57,5.57,6.94,9.14,9.61
Total Current Liabilities,7.83,9.72,17.17,35.37,32.30
Total Long Term Debt,0.06,4.64,15.09,56.89,54.46
Total Debt,0.10,6.95,20.93,75.78,69.24
Deferred Income Tax,0,0.02,0.02,0.03,0.11
"Other Liabilities, Total",3.88,0.16,0.76,0.94,0.98
Total Liabilities,12.21,14.50,32.99,93.01,87.91
"Common Stock, Total",0.50,49.30,49.30,49.30,49.30
Retained Earnings (Accumulated Deficit),3.19,7.57,13.97,17.66,20.84
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.04,-0.18,-2.54,-4.10,1.79
Total Equity,3.72,56.70,60.74,62.86,71.92
Total Liabilities & Shareholders' Equity,15.93,71.20,93.73,155.88,159.84
Total Common Shares Outstanding,180.00,241.60,241.60,241.60,241.60
"Tangible Book Value per Share, Common Eq",-0.01,0.14,0.07,-0.11,-0.10
