Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,18.42,22.79,36.96,53.89,51.80
Total Revenue,18.42,22.79,36.96,53.89,51.80
"Selling/General/Admin. Expenses, Total",7.39,10.30,17.17,26.12,28.23
Depreciation/Amortisation,0,0,0.55,0.46,0.58
Unusual Expense (Income),0,1.01,0.43,0.52,-10.23
"Other Operating Expenses, Total",-1.21,-1.40,-3.00,-3.27,-3.16
Total Operating Expense,12.15,17.52,29.36,50.14,45.36
Operating Income,6.27,5.27,7.60,3.75,6.44
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.00,-0.07,-0.77,-2.65,-2.61
"Other, Net",0.02,0,0,6.21,0.00
Net Income Before Taxes,6.28,5.20,6.82,7.31,3.84
Provision for Income Taxes,0.45,0.31,0.34,0.36,0.18
Net Income After Taxes,5.83,4.89,6.49,6.95,3.65
Net Income Before Extra. Items,5.39,4.57,6.38,6.93,3.17
Net Income,5.39,4.57,6.38,6.93,3.17
Income Available to Com Excl ExtraOrd,5.39,4.57,6.38,6.93,3.17
Income Available to Com Incl ExtraOrd,5.39,4.57,6.38,6.93,3.17
Diluted Net Income,5.39,4.57,6.38,6.93,3.17
Diluted Weighted Average Shares,180.00,186.41,241.60,241.60,241.60
Diluted EPS Excluding ExtraOrd Items,0.03,0.02,0.03,0.03,0.01
DPS - Common Stock Primary Issue,0,0,0.01,0.00,0.00
Diluted Normalised EPS,0.03,0.03,0.03,0.03,-0.01
