Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,4.13,0,0,0,0
Short Term Investments,3.29,0,0,0,0
Cash and Short Term Investments,7.42,14.74,16.39,18.31,15.60
"Accounts Receivable - Trade, Net",40.51,20.83,28.71,17.88,21.29
"Total Receivables, Net",43.80,20.83,28.71,17.88,21.29
Prepaid Expenses,2.41,0,0,0,0
"Other Current Assets, Total",6.76,0,74.35,74.04,70.54
Total Current Assets,70.61,44.14,127.36,114.98,113.12
"Property/Plant/Equipment, Total - Gross",288.89,0,0,0,0
"Accumulated Depreciation, Total",-63.26,0,0,0,0
"Property/Plant/Equipment, Total - Net",225.63,205.64,119.99,118.67,102.33
"Goodwill, Net",44.80,0,0,0,0
"Intangibles, Net",0.06,9.72,9.66,4.78,4.78
Long Term Investments,1.28,0.12,0.12,4.13,4.39
Total Assets,342.38,259.62,257.13,242.56,224.61
Accounts Payable,9.83,0,0,0,0
Accrued Expenses,2.23,0,0,0,0
Notes Payable/Short Term Debt,1.40,0.42,0.43,0.30,0.30
"Other Current liabilities, Total",6.01,4.16,77.97,77.81,71.88
Total Current Liabilities,64.77,210.92,217.86,202.72,88.13
Total Long Term Debt,151.14,3.24,1.16,16.81,108.03
Total Debt,197.83,193.63,117.09,120.72,117.35
Deferred Income Tax,4.48,5.34,5.15,3.59,3.59
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,226.97,226.82,231.99,226.10,201.55
"Common Stock, Total",91.86,91.95,92.28,92.55,92.86
Retained Earnings (Accumulated Deficit),27.20,-58.76,-66.93,-75.46,-69.10
Treasury Stock - Common,-0.20,-0.20,-0.20,-0.20,-0.20
Unrealised Gain (Loss),0.01,0.03,0.03,0.02,0.02
"Other Equity, Total",-3.46,-0.22,-0.04,-0.43,-0.52
Total Equity,115.41,32.80,25.14,16.47,23.06
Total Liabilities & Shareholders' Equity,342.38,259.62,257.13,242.56,224.61
Total Common Shares Outstanding,421.74,422.24,421.74,428.85,441.14
"Tangible Book Value per Share, Common Eq",0.17,0.05,0.04,0.03,0.04
