Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,Interim Report,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,42.90,13.20,13.88,42.44,20.69
"Accounts Receivable - Trade, Net",3.90,3.11,12.76,13.18,5.04
"Total Receivables, Net",3.90,3.90,12.76,13.18,5.04
Prepaid Expenses,0,0.42,0,0,0
"Other Current Assets, Total",0,24.45,10.99,38.88,0.00
Total Current Assets,46.92,41.97,37.63,94.49,25.73
"Property/Plant/Equipment, Total - Gross",0,806.89,0,0,0
"Accumulated Depreciation, Total",0,-517.81,0,0,0
"Property/Plant/Equipment, Total - Net",427.51,289.08,225.54,180.70,136.11
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0.00,0,0,0,0
Total Assets,474.43,331.04,263.17,275.20,161.84
Accounts Payable,2.41,0.44,2.90,2.22,2.42
Accrued Expenses,0,1.56,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1.57,4.06,1.69,0.04,0.01
Total Current Liabilities,226.29,157.35,27.85,37.80,18.97
Total Long Term Debt,0.00,0.00,80.05,34.52,13.30
Total Debt,222.31,151.31,103.32,70.06,29.84
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0.68,0,0,0,0
Total Liabilities,226.97,157.35,107.91,72.32,32.27
"Common Stock, Total",523.28,523.28,523.28,561.33,561.33
Retained Earnings (Accumulated Deficit),-275.83,-342.87,-368.02,-358.45,-431.77
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,-6.73,0,0,0
Total Equity,247.45,173.69,155.26,202.88,129.56
Total Liabilities & Shareholders' Equity,474.43,331.04,263.17,275.20,161.84
Total Common Shares Outstanding,637.46,637.46,637.46,1768.06,1768.06
"Tangible Book Value per Share, Common Eq",0.39,0.27,0.24,0.11,0.07
