Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.42,2.65,-3.54,0.87,-0.23
Depreciation/Depletion,3.66,3.75,2.90,3.25,3.44
Non-Cash Items,-0.34,-0.15,1.21,0.11,-0.13
Cash Taxes Paid,0.23,0.04,0.34,0.18,0.10
Changes in Working Capital,-6.23,12.79,-7.53,-1.92,6.03
Cash from Operating Activities,-0.35,19.20,-6.81,2.32,9.10
Capital Expenditures,-3.98,-1.13,-1.84,-1.41,-3.17
"Other Investing Cash Flow Items, Total",0.39,0.26,0.68,0.55,0.09
Cash from Investing Activities,-3.60,-0.88,-1.15,-0.86,-3.08
Total Cash Dividends Paid,-1.98,-0.86,-1.04,-0.17,-0.07
"Issuance (Retirement) of Stock, Net",0.06,0.00,-0.08,0.00,-0.01
Cash from Financing Activities,-2.65,-0.87,-1.13,-0.65,4.31
Foreign Exchange Effects,0.00,-0.01,-0.00,0.00,0.04
Net Change in Cash,-6.59,17.44,-9.10,0.81,10.37
