Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,Interim Report,ARS,ARS
Cash,0,0,0.07,0,0.55
Short Term Investments,0,0,0.91,0,0
Cash and Short Term Investments,3.25,3.22,0.98,0.29,0.55
"Accounts Receivable - Trade, Net",1.09,0.89,0.22,0.24,0.04
"Total Receivables, Net",1.09,0.89,0.22,0.24,0.04
Prepaid Expenses,0.05,0.05,0.02,0.02,0.02
"Other Current Assets, Total",0.00,0,2.66,0.30,8.12
Total Current Assets,5.72,5.46,3.88,0.88,8.73
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",1.20,0.96,0.11,0.08,0.02
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,9.05,8.65,8.40,9.55,0.00
Total Assets,15.96,15.07,12.39,10.51,8.75
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.60,1.52,0.34,0.80,0.19
"Other Current liabilities, Total",0.00,0,1.37,0.00,1.66
Total Current Liabilities,1.75,2.74,2.23,1.42,2.48
Total Long Term Debt,0.04,0.01,0.01,1.62,0.68
Total Debt,0.67,1.55,0.36,2.49,0.87
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,1.79,2.75,2.24,3.04,3.16
"Common Stock, Total",24.76,24.76,24.76,24.76,24.76
Retained Earnings (Accumulated Deficit),-10.34,-12.08,-14.33,-17.06,-18.99
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.25,-0.37,-0.28,-0.24,-0.18
Total Equity,14.18,12.32,10.16,7.47,5.59
Total Liabilities & Shareholders' Equity,15.96,15.07,12.39,10.51,8.75
Total Common Shares Outstanding,1229.23,1229.23,1229.23,1229.23,1229.23
"Tangible Book Value per Share, Common Eq",0.01,0.01,0.01,0.01,0.00
