Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,128.97,117.41,136.66,143.65,120.21
Total Revenue,128.97,117.41,136.66,143.65,120.21
"Selling/General/Admin. Expenses, Total",16.79,19.41,18.83,21.75,18.49
Depreciation/Amortisation,0,0,0.26,2.43,2.37
Unusual Expense (Income),6.11,1.93,-0.31,0.11,0.02
"Other Operating Expenses, Total",1.15,0.59,-0.69,-2.51,-4.60
Total Operating Expense,139.61,123.10,135.62,144.42,118.10
Operating Income,-10.64,-5.69,1.04,-0.76,2.11
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.59,-0.38,-0.67,-1.41,-1.02
"Other, Net",0,-0.19,-0.23,0.00,-0.04
Net Income Before Taxes,-11.24,-6.26,0.14,-2.17,1.05
Provision for Income Taxes,-0.01,-0.85,-0.02,0.46,-0.07
Net Income After Taxes,-11.23,-5.41,0.16,-2.64,1.11
Net Income Before Extra. Items,-11.19,-5.32,0.27,-1.98,1.27
Net Income,-11.19,-5.32,0.27,-1.98,1.27
Income Available to Com Excl ExtraOrd,-11.19,-5.32,0.27,-1.98,1.27
Income Available to Com Incl ExtraOrd,-11.19,-5.32,0.27,-1.98,1.27
Diluted Net Income,-11.19,-5.32,0.27,-1.98,1.27
Diluted Weighted Average Shares,219.12,250.45,250.45,250.45,250.45
Diluted EPS Excluding ExtraOrd Items,-0.05,-0.02,0.00,-0.01,0.01
DPS - Common Stock Primary Issue,0,0,0,0.00,0.00
Diluted Normalised EPS,-0.03,-0.02,0.00,-0.01,0.01
