Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,182.11,316.30,299.24,249.11,306.76
Total Revenue,182.11,316.30,299.24,249.11,306.76
"Selling/General/Admin. Expenses, Total",8.30,12.31,12.51,12.97,27.94
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-4.99,-0.04,0.01,-0.01,-0.00
"Other Operating Expenses, Total",-0.73,0.51,0.38,12.32,-101.17
Total Operating Expense,147.44,251.30,243.91,266.80,183.78
Operating Income,34.67,65.00,55.33,-17.69,122.98
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-12.68,-26.49,-26.82,-18.07
"Other, Net",0,-0.05,-0.05,-0.05,-0.04
Net Income Before Taxes,34.67,52.26,28.79,-44.56,104.86
Provision for Income Taxes,11.13,15.59,10.79,3.16,9.72
Net Income After Taxes,23.54,36.68,18.00,-47.72,95.15
Net Income Before Extra. Items,23.55,36.69,18.02,-47.47,94.91
Net Income,22.20,36.69,18.02,-47.47,94.91
Income Available to Com Excl ExtraOrd,23.55,36.69,18.02,-47.47,94.91
Income Available to Com Incl ExtraOrd,22.20,36.69,18.02,-47.47,94.91
Diluted Net Income,22.20,36.69,18.02,-47.47,94.91
Diluted Weighted Average Shares,1206.25,1273.82,1337.52,1399.27,1399.27
Diluted EPS Excluding ExtraOrd Items,0.02,0.03,0.01,-0.03,0.07
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.00,0.01
Diluted Normalised EPS,0.02,0.03,0.01,-0.03,0.07
