Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,33.11,52.26,28.79,-44.56,104.86
Depreciation/Depletion,12.53,16.21,11.91,15.97,16.26
Non-Cash Items,1.72,17.55,24.89,45.41,-67.63
Cash Taxes Paid,0.28,9.97,18.48,9.23,1.90
Changes in Working Capital,21.94,-39.72,-73.66,-13.56,2.83
Cash from Operating Activities,69.31,46.29,-8.06,3.26,56.33
Capital Expenditures,-0.28,-34.87,-4.46,-3.15,-7.84
"Other Investing Cash Flow Items, Total",-5.90,1.64,-32.08,-23.82,1.06
Cash from Investing Activities,-6.17,-33.23,-36.54,-26.97,-6.78
Total Cash Dividends Paid,0,-18.60,-9.65,-4.09,0.00
"Issuance (Retirement) of Stock, Net",0.00,0.00,14.78,0.00,0
Cash from Financing Activities,-7.87,186.62,-20.62,-39.53,-135.87
Foreign Exchange Effects,0.08,0.02,-0.06,0.05,-0.01
Net Change in Cash,55.34,199.70,-65.27,-63.19,-86.33
