Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,0.36,86.51,1.58,0.98,0.25
Depreciation/Depletion,2.09,1.92,0.91,1.02,0.96
Non-Cash Items,1.66,-86.01,-1.08,-0.83,-1.10
Cash Taxes Paid,0.47,0.55,0.06,0.10,0.04
Changes in Working Capital,-1.60,0.76,0.43,0.98,0.65
Cash from Operating Activities,2.50,3.17,1.85,2.16,0.77
Capital Expenditures,-0.54,-0.34,-0.54,-0.20,-0.88
"Other Investing Cash Flow Items, Total",-3.00,95.36,-38.98,-0.90,-0.07
Cash from Investing Activities,-3.54,95.02,-39.51,-1.10,-0.95
Total Cash Dividends Paid,0,0.00,-2.89,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-1.42,-69.64,-5.29,-0.14,-0.16
Foreign Exchange Effects,-0.23,-0.06,0.15,-0.05,-0.01
Net Change in Cash,-2.68,28.49,-42.80,0.88,-0.36
