Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,92.56,101.22,104.30,151.21,280.77
"Accounts Receivable - Trade, Net",5.43,6.00,11.31,17.45,12.09
"Total Receivables, Net",21.79,34.23,45.64,48.31,57.11
Prepaid Expenses,8.09,9.72,14.66,15.98,18.86
"Other Current Assets, Total",6.92,3.79,6.12,7.92,6.13
Total Current Assets,129.35,148.95,170.72,223.41,362.87
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0,0,0
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,5540.08,6515.22,7894.28,8816.30,10816.95
Total Assets,5686.71,6678.33,8078.34,9051.37,11204.67
Accounts Payable,12.44,1.01,4.31,3.54,4.46
Accrued Expenses,61.68,55.43,58.33,69.21,89.03
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",103.87,133.64,157.56,144.84,210.94
Total Current Liabilities,402.33,243.27,251.80,428.54,474.89
Total Long Term Debt,1959.76,2458.63,2962.06,3334.24,4165.79
Total Debt,2184.10,2511.81,2993.67,3545.19,4336.25
Deferred Income Tax,116.02,146.45,170.24,192.53,378.26
"Other Liabilities, Total",18.91,18.20,27.05,78.57,66.56
Total Liabilities,2502.86,2872.25,3416.67,4041.18,5093.48
"Common Stock, Total",1705.57,2328.25,2985.24,3193.68,4104.37
Retained Earnings (Accumulated Deficit),853.57,1113.93,1313.05,1465.59,1643.69
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",624.70,363.91,363.36,350.92,363.13
Total Equity,3183.84,3806.08,4661.66,5010.19,6111.20
Total Liabilities & Shareholders' Equity,5686.71,6678.33,8078.34,9051.37,11204.67
Total Common Shares Outstanding,2517.66,3058.17,3624.33,3802.36,4283.21
"Tangible Book Value per Share, Common Eq",1.26,1.24,1.29,1.32,1.43
