Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,865.04,464.53,148.52,139.65,113.33
Total Revenue,865.04,464.53,148.52,139.65,113.33
"Selling/General/Admin. Expenses, Total",295.11,162.78,96.30,115.23,109.47
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.00,31.00,123.10,1.10,3.17
"Other Operating Expenses, Total",-2.55,21.21,34.47,-5.07,-1.08
Total Operating Expense,856.61,558.42,360.70,202.48,181.01
Operating Income,8.43,-93.89,-212.17,-62.83,-67.68
"Interest Inc.(Exp.),Net-Non-Op., Total",-4.29,-4.37,-6.26,-6.34,-7.01
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.14,-98.27,-218.43,-69.17,-74.69
Provision for Income Taxes,14.80,14.18,3.61,0.18,-0.75
Net Income After Taxes,-10.66,-112.44,-222.03,-69.35,-73.93
Net Income Before Extra. Items,-10.66,-112.44,-222.03,-69.35,-73.93
Net Income,-10.66,-112.44,-222.03,-69.35,-73.93
Income Available to Com Excl ExtraOrd,-10.66,-112.44,-222.03,-69.35,-73.93
Income Available to Com Incl ExtraOrd,-10.66,-112.44,-222.03,-69.35,-73.93
Diluted Net Income,-10.66,-112.44,-222.03,-69.35,-73.93
Diluted Weighted Average Shares,79.83,79.83,79.83,79.83,79.83
Diluted EPS Excluding ExtraOrd Items,-0.13,-1.41,-2.78,-0.87,-0.93
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,-0.13,-1.15,-1.78,-0.86,-0.90
