Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,595.63,190.21,175.04,156.50,121.88
"Accounts Receivable - Trade, Net",0,0,0,0,0
"Total Receivables, Net",0.00,0.00,0.00,0,0.47
Prepaid Expenses,23.66,91.39,44.70,39.68,16.68
"Other Current Assets, Total",52.59,0.00,0,0,0
Total Current Assets,1315.96,1051.78,934.74,905.78,890.16
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",374.41,374.34,294.66,270.51,373.84
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",1.28,1.28,0.28,0.00,0.00
Long Term Investments,123.67,80.27,13.72,13.67,11.12
Total Assets,1931.28,1648.21,1379.96,1322.54,1275.86
Accounts Payable,116.73,124.54,60.91,55.99,85.07
Accrued Expenses,210.55,84.11,97.64,114.33,110.14
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,115.00
"Other Current liabilities, Total",32.55,4.18,5.77,7.64,8.89
Total Current Liabilities,494.83,325.82,279.32,292.95,319.10
Total Long Term Debt,0.00,0.00,0.00,0.00,0.00
Total Debt,135.00,113.00,115.00,115.00,115.00
Deferred Income Tax,12.16,11.88,11.59,11.31,11.02
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,506.99,337.70,290.91,304.25,330.12
"Common Stock, Total",279.50,279.50,279.50,279.50,279.50
Retained Earnings (Accumulated Deficit),1144.79,1031.01,809.55,738.79,666.24
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,1424.29,1310.51,1089.05,1018.29,945.74
Total Liabilities & Shareholders' Equity,1931.28,1648.21,1379.96,1322.54,1275.86
Total Common Shares Outstanding,79.83,79.83,79.83,79.83,79.83
"Tangible Book Value per Share, Common Eq",17.83,16.40,13.64,12.76,11.85
