Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.14,-98.27,-218.43,-69.17,-74.69
Depreciation/Depletion,21.28,25.59,26.18,25.95,29.67
Non-Cash Items,5.47,51.02,136.09,10.98,9.85
Cash Taxes Paid,16.95,16.29,4.45,0.66,0.47
Changes in Working Capital,166.01,-335.85,41.06,13.74,11.84
Cash from Operating Activities,196.89,-357.50,-15.10,-18.50,-23.33
Capital Expenditures,-3.72,-5.63,-1.28,-1.80,-0.46
"Other Investing Cash Flow Items, Total",1.81,15.97,0.51,0.43,-0.36
Cash from Investing Activities,-1.91,10.35,-0.77,-1.37,-0.82
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-2.46,-57.42,0.88,1.35,-10.49
Foreign Exchange Effects,0.09,-0.85,-0.19,-0.02,0.02
Net Change in Cash,192.62,-405.41,-15.17,-18.54,-34.62
