Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.00,6.94,5.75,15.50,0.48
Total Revenue,0.00,6.94,5.75,15.50,0.48
"Selling/General/Admin. Expenses, Total",0.62,1.42,4.17,4.68,3.09
Depreciation/Amortisation,0,0.09,0.03,0.27,0.22
Unusual Expense (Income),0,0,2.14,0,0
"Other Operating Expenses, Total",-0.00,-0.01,-0.47,-0.22,-0.20
Total Operating Expense,0.62,6.62,10.46,14.58,4.09
Operating Income,-0.62,0.32,-4.71,0.92,-3.62
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.62,0.32,-4.71,0.92,-3.62
Provision for Income Taxes,0.00,0.07,0.12,0.79,0.02
Net Income After Taxes,-0.62,0.24,-4.83,0.14,-3.64
Net Income Before Extra. Items,-0.62,0.24,-4.83,0.14,-3.64
Net Income,-0.62,0.24,-4.83,0.14,-3.64
Income Available to Com Excl ExtraOrd,-0.62,0.24,-4.83,0.14,-3.64
Income Available to Com Incl ExtraOrd,-0.62,0.24,-4.83,0.14,-3.64
Diluted Net Income,-0.62,0.24,-4.83,0.14,-3.64
Diluted Weighted Average Shares,27.60,95.79,111.23,142.17,261.21
Diluted EPS Excluding ExtraOrd Items,-0.02,0.00,-0.04,0.00,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,0.00,-0.03,0.00,-0.01
