Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,Interim Report,ARS,ARS,ARS
Cash,0,0,0,25.77,40.38
Short Term Investments,29.54,15.62,17.81,30.16,23.89
Cash and Short Term Investments,63.27,50.69,66.53,55.93,64.27
"Accounts Receivable - Trade, Net",153.68,169.33,166.21,162.76,127.42
"Total Receivables, Net",217.30,223.04,304.63,323.02,298.68
Prepaid Expenses,0,0,0,0.29,0.40
"Other Current Assets, Total",7.05,3.65,5.33,4.53,4.99
Total Current Assets,287.61,277.38,376.49,383.77,368.63
"Property/Plant/Equipment, Total - Gross",0,0,0,10.67,10.60
"Accumulated Depreciation, Total",0,0,0,-5.67,-6.15
"Property/Plant/Equipment, Total - Net",15.70,14.89,3.32,5.00,4.45
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.59,0.47,1.08,0.99,0.77
Long Term Investments,53.11,58.13,41.33,28.08,21.55
Total Assets,405.44,411.02,506.46,504.78,481.43
Accounts Payable,13.81,12.86,16.69,3.55,4.87
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,187.39,198.38,265.48,256.98,233.35
"Other Current liabilities, Total",26.13,22.53,23.79,37.46,31.79
Total Current Liabilities,227.33,233.77,305.96,298.58,270.77
Total Long Term Debt,13.03,9.41,13.86,7.58,15.38
Total Debt,200.42,207.79,279.34,265.15,249.49
Deferred Income Tax,0.34,0.38,0.52,0.25,0.14
"Other Liabilities, Total",1.12,1.15,1.56,1.43,1.50
Total Liabilities,254.44,258.73,337.25,325.78,305.68
"Common Stock, Total",137.30,137.30,137.30,137.30,137.30
Retained Earnings (Accumulated Deficit),13.71,14.99,31.90,38.16,36.05
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,-0.00,3.55,2.40
Total Equity,151.01,152.29,169.21,179.01,175.75
Total Liabilities & Shareholders' Equity,405.44,411.02,506.46,504.78,481.43
Total Common Shares Outstanding,375.97,375.97,375.97,375.97,375.97
"Tangible Book Value per Share, Common Eq",0.40,0.40,0.45,0.47,0.47
