Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,12.81,8.68,13.68,11.11,7.62
Short Term Investments,11.75,4.51,4.01,20.20,14.43
Cash and Short Term Investments,66.44,62.24,54.71,59.52,63.60
"Accounts Receivable - Trade, Net",11.62,8.97,6.84,5.62,4.88
"Total Receivables, Net",12.32,10.66,7.87,6.34,6.14
Prepaid Expenses,0.61,2.82,2.88,2.55,2.00
"Other Current Assets, Total",0.07,0.06,0.06,0.83,0.03
Total Current Assets,90.93,85.80,75.34,78.04,79.29
"Property/Plant/Equipment, Total - Gross",123.20,122.37,122.67,207.13,195.44
"Accumulated Depreciation, Total",-75.16,-78.45,-94.69,-120.09,-141.61
"Property/Plant/Equipment, Total - Net",48.05,43.93,27.98,87.05,53.82
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.24,0.24,0.24,0.21,0.17
Long Term Investments,79.60,87.07,98.54,90.99,69.40
Total Assets,226.75,223.84,208.58,266.16,213.89
Accounts Payable,37.87,31.05,30.87,26.56,22.01
Accrued Expenses,5.35,7.43,5.85,4.66,4.04
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",3.97,6.01,8.34,10.94,5.24
Total Current Liabilities,47.19,44.48,45.06,62.04,48.05
Total Long Term Debt,0.00,0.00,0.00,69.74,53.75
Total Debt,0.00,0.00,0.00,89.63,70.51
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",7.18,6.17,6.23,5.38,5.28
Total Liabilities,54.37,50.65,51.29,137.16,107.08
"Common Stock, Total",91.71,91.71,91.71,91.71,91.71
Retained Earnings (Accumulated Deficit),79.60,79.88,64.11,35.51,13.23
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),1.28,1.61,1.48,1.84,1.85
"Other Equity, Total",-0.20,-0.01,-0.02,-0.06,0.04
Total Equity,172.38,173.19,157.29,129.00,106.82
Total Liabilities & Shareholders' Equity,226.75,223.84,208.58,266.16,213.89
Total Common Shares Outstanding,41.25,41.25,41.25,41.25,41.25
"Tangible Book Value per Share, Common Eq",4.17,4.19,3.81,3.12,2.59
