Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,465.57,442.88,455.59,448.21,422.80
Total Revenue,465.57,442.88,455.59,448.21,422.80
"Selling/General/Admin. Expenses, Total",92.65,89.25,85.71,83.46,82.24
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0.56,-3.14,-0.02,-3.52
"Other Operating Expenses, Total",-3.44,-3.84,-4.37,-4.84,-3.64
Total Operating Expense,457.21,427.69,437.57,431.99,397.48
Operating Income,8.36,15.19,18.02,16.22,25.32
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,8.36,15.19,18.02,16.22,25.32
Provision for Income Taxes,3.90,5.67,3.74,3.46,5.75
Net Income After Taxes,4.46,9.52,14.28,12.76,19.57
Net Income Before Extra. Items,3.69,8.75,13.73,12.96,19.16
Net Income,3.69,8.75,13.73,12.96,19.16
Income Available to Com Excl ExtraOrd,3.69,8.75,13.73,12.96,19.16
Income Available to Com Incl ExtraOrd,3.69,8.75,13.73,12.96,19.16
Diluted Net Income,3.69,8.75,13.73,12.96,19.16
Diluted Weighted Average Shares,292.30,292.30,292.30,292.30,291.75
Diluted EPS Excluding ExtraOrd Items,0.01,0.03,0.05,0.04,0.07
DPS - Common Stock Primary Issue,0.01,0.02,0.02,0.02,0.03
Diluted Normalised EPS,0.01,0.04,0.04,0.04,0.06
