Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,42.50,42.78,49.54,74.90
Short Term Investments,0,11.86,8.32,6.85,9.73
Cash and Short Term Investments,51.47,54.36,51.10,56.39,84.62
"Accounts Receivable - Trade, Net",94.59,84.98,85.59,71.36,66.18
"Total Receivables, Net",94.59,91.18,94.47,76.46,71.35
Prepaid Expenses,0,8.97,6.33,7.09,9.05
"Other Current Assets, Total",13.55,0.83,0.12,0.01,0.00
Total Current Assets,272.55,267.06,272.01,259.69,267.10
"Property/Plant/Equipment, Total - Gross",0,184.98,193.69,215.85,216.01
"Accumulated Depreciation, Total",0,-102.67,-108.69,-114.78,-119.08
"Property/Plant/Equipment, Total - Net",105.88,82.30,85.00,101.07,96.93
"Goodwill, Net",0,1.67,1.67,1.67,1.67
"Intangibles, Net",4.43,3.28,2.95,2.36,1.92
Long Term Investments,16.26,28.91,28.96,29.23,32.81
Total Assets,402.41,387.47,393.97,398.57,405.12
Accounts Payable,0,16.90,23.28,15.42,21.47
Accrued Expenses,0,9.54,6.93,7.28,7.31
Notes Payable/Short Term Debt,0.00,64.29,69.01,62.25,42.26
"Other Current liabilities, Total",0.58,12.13,13.93,13.21,17.40
Total Current Liabilities,122.11,109.05,119.50,108.28,94.24
Total Long Term Debt,21.52,14.89,8.15,22.51,25.67
Total Debt,98.38,85.38,83.51,94.89,73.74
Deferred Income Tax,2.39,2.50,2.15,1.76,1.48
"Other Liabilities, Total",0.32,0.23,0.06,0.16,0.16
Total Liabilities,159.90,139.30,141.03,142.75,129.74
"Common Stock, Total",77.00,77.00,77.00,77.00,77.00
Retained Earnings (Accumulated Deficit),165.51,172.31,181.40,187.50,200.02
Treasury Stock - Common,0,0,0,0,-0.67
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,-1.13,-5.46,-8.67,-0.97
Total Equity,242.51,248.18,252.94,255.83,275.38
Total Liabilities & Shareholders' Equity,402.41,387.47,393.97,398.57,405.12
Total Common Shares Outstanding,292.30,292.30,292.30,292.30,290.40
"Tangible Book Value per Share, Common Eq",0.81,0.83,0.85,0.86,0.94
