Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.46,9.52,14.28,12.76,19.57
Depreciation/Depletion,13.33,11.77,10.24,17.33,15.81
Non-Cash Items,6.47,7.98,1.07,3.86,7.56
Cash Taxes Paid,3.71,5.07,5.11,4.12,5.43
Changes in Working Capital,19.98,-6.96,-10.90,3.41,28.41
Cash from Operating Activities,44.30,22.68,15.17,37.85,71.84
Capital Expenditures,-8.00,-5.98,-13.99,-4.93,-3.60
"Other Investing Cash Flow Items, Total",1.56,3.34,5.31,2.25,2.25
Cash from Investing Activities,-6.45,-2.64,-8.68,-2.69,-1.35
Total Cash Dividends Paid,-4.15,-1.87,-4.38,-6.87,-6.49
"Issuance (Retirement) of Stock, Net",0,0,0,0,-0.67
Cash from Financing Activities,-38.33,-16.06,-9.22,-30.63,-41.90
Foreign Exchange Effects,-0.87,-0.37,-0.45,-0.54,1.11
Net Change in Cash,-1.35,3.61,-3.18,4.00,29.70
