Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,437.34,272.21,448.74,467.02,236.89
Cash and Short Term Investments,2168.68,2409.48,2598.75,3579.98,3322.00
"Accounts Receivable - Trade, Net",677.82,478.58,749.84,728.24,702.19
"Total Receivables, Net",677.82,478.58,749.84,728.24,702.19
Prepaid Expenses,113.06,126.26,0,0,0
"Other Current Assets, Total",9.36,0.60,100.32,205.84,621.58
Total Current Assets,6972.15,6472.63,7302.72,9482.48,10531.97
"Property/Plant/Equipment, Total - Gross",2099.12,2405.12,2329.41,2515.34,3102.79
"Accumulated Depreciation, Total",-126.84,-164.39,-213.35,-365.87,-679.00
"Property/Plant/Equipment, Total - Net",1972.28,2240.72,2116.05,2149.46,2423.79
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",681.74,763.14,700.58,611.24,633.58
Long Term Investments,14289.19,17251.10,21952.73,24655.87,24231.14
Total Assets,24204.38,27009.37,32562.07,37632.93,38748.12
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",283.90,174.71,636.71,834.45,614.54
Total Current Liabilities,3448.97,3357.63,4792.19,5806.19,6061.76
Total Long Term Debt,8325.42,10056.13,12302.76,13905.33,15885.06
Total Debt,9795.54,11627.84,14945.70,17395.90,20032.25
Deferred Income Tax,206.08,327.80,536.39,594.80,716.76
"Other Liabilities, Total",380.42,218.61,190.50,1236.07,969.26
Total Liabilities,16151.45,18156.60,23055.21,28189.74,29845.25
"Common Stock, Total",1766.80,1774.77,1784.73,1795.24,1804.95
Retained Earnings (Accumulated Deficit),4894.34,5379.91,5684.31,5609.12,5755.20
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",1391.78,1698.09,2037.82,2038.84,1342.72
Total Equity,8052.92,8852.77,9506.86,9443.20,8902.87
Total Liabilities & Shareholders' Equity,24204.38,27009.37,32562.07,37632.93,38748.12
Total Common Shares Outstanding,2900.00,2905.32,2912.03,2919.49,2925.66
"Tangible Book Value per Share, Common Eq",2.54,2.78,3.02,3.03,2.83
