Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,13.74,8.48,0.40,-11.34,-11.89
Depreciation/Depletion,4.94,5.52,8.21,16.85,17.24
Non-Cash Items,0.74,4.79,1.45,5.48,9.72
Cash Taxes Paid,6.60,5.30,3.37,1.95,-1.77
Changes in Working Capital,-8.30,-6.68,-12.73,-1.58,-3.48
Cash from Operating Activities,11.12,12.12,-2.67,10.23,12.41
Capital Expenditures,-6.13,-4.41,-33.89,-15.33,-3.44
"Other Investing Cash Flow Items, Total",-1.44,-4.99,-18.00,-15.16,-2.96
Cash from Investing Activities,-7.57,-9.40,-51.88,-30.49,-6.40
Total Cash Dividends Paid,0,0.00,-3.66,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,16.97,57.63,7.89,-3.81,5.12
Foreign Exchange Effects,0,0,1.72,0.70,-0.17
Net Change in Cash,20.53,60.35,-44.95,-23.36,10.96
