Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-0.01,0.76,0.78,1.06,-1.12
Depreciation/Depletion,1.85,1.86,2.03,2.92,3.58
Non-Cash Items,0.49,0.95,0.81,0.50,2.70
Cash Taxes Paid,0.18,0.17,0.21,0.15,0.10
Changes in Working Capital,0.74,3.12,-3.24,1.78,3.86
Cash from Operating Activities,3.08,6.73,0.51,6.41,9.16
Capital Expenditures,-2.40,-4.95,-1.67,-0.92,-0.55
"Other Investing Cash Flow Items, Total",0.06,0.31,0.79,0.23,0.20
Cash from Investing Activities,-2.35,-4.64,-0.88,-0.69,-0.35
Total Cash Dividends Paid,-0.23,0.00,-0.23,-0.23,-0.34
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,0.21,0.30,0.72,-3.46,-3.53
Foreign Exchange Effects,0.01,0.01,0.01,0.03,0.03
Net Change in Cash,0.95,2.40,0.37,2.29,5.31
