Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-14.03,3.27,2.84,4.34,-2.69
Depreciation/Depletion,11.02,9.75,11.70,12.25,0
Non-Cash Items,13.43,0.98,0.52,0.26,14.05
Cash Taxes Paid,0.42,0.43,0.45,0.51,0.36
Changes in Working Capital,-0.07,-1.45,-2.58,-0.21,-0.62
Cash from Operating Activities,10.35,12.55,12.48,16.64,10.73
Capital Expenditures,-5.91,-5.13,-4.11,-7.48,-6.79
"Other Investing Cash Flow Items, Total",0.60,-0.20,0.17,1.65,19.34
Cash from Investing Activities,-5.31,-5.33,-3.94,-5.83,12.55
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-9.69,-9.02,-6.82,-3.10,-32.78
Foreign Exchange Effects,0.00,-0.00,-0.05,-0.03,0.00
Net Change in Cash,-4.65,-1.81,1.67,7.68,-9.49
