Fiscal Year,2013,2014,2015,2016,2017
Period Ended,31 Aug 2013,31 Aug 2014,31 Aug 2015,31 Aug 2016,31 Aug 2017
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,34.88,31.08,29.93,19.61,-162.98
Depreciation/Depletion,5.94,7.79,11.93,11.40,11.52
Non-Cash Items,2.32,4.30,2.41,7.38,75.55
Cash Taxes Paid,5.32,3.58,5.77,1.69,0.96
Changes in Working Capital,-27.39,-35.45,12.97,-68.82,52.28
Cash from Operating Activities,15.75,7.72,58.36,-30.11,-22.95
Capital Expenditures,-33.02,-13.62,-17.54,-22.16,-7.03
"Other Investing Cash Flow Items, Total",0,0.04,-18.51,-15.90,4.91
Cash from Investing Activities,-33.02,-13.59,-36.06,-38.06,-2.12
Total Cash Dividends Paid,0,-4.63,-2.48,-2.29,0.00
"Issuance (Retirement) of Stock, Net",0,0,15.74,0.00,0
Cash from Financing Activities,25.27,13.14,-4.14,43.08,16.76
Foreign Exchange Effects,0.14,0.04,-0.41,0.19,-0.02
Net Change in Cash,8.14,7.32,17.74,-24.90,-8.33
