Fiscal Year,2013,2014,2015,2016,2017
Period Ended,31 Aug 2013,31 Aug 2014,31 Aug 2015,31 Aug 2016,31 Aug 2017
Source,ARS,ARS,ARS,ARS,PRESS
Cash,0,0,2.94,22.30,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,15.46,22.78,43.46,37.92,32.59
"Accounts Receivable - Trade, Net",108.19,156.86,148.44,170.31,103.97
"Total Receivables, Net",154.17,187.85,166.74,194.06,116.90
Prepaid Expenses,1.74,1.58,1.71,2.52,0
"Other Current Assets, Total",0.14,0.12,0.48,4.88,8.75
Total Current Assets,210.09,246.48,282.75,328.55,234.10
"Property/Plant/Equipment, Total - Gross",126.19,138.45,189.89,200.17,0
"Accumulated Depreciation, Total",-24.00,-31.23,-51.21,-62.53,0
"Property/Plant/Equipment, Total - Net",102.19,107.22,138.32,137.64,120.57
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",7.20,7.63,8.37,9.31,2.18
Long Term Investments,0.00,0,0.04,0.04,0.04
Total Assets,319.92,361.53,430.17,478.24,358.29
Accounts Payable,0,0,0,0,0
Accrued Expenses,19.87,15.92,27.21,22.31,0
Notes Payable/Short Term Debt,24.85,20.41,39.32,70.49,66.56
"Other Current liabilities, Total",39.98,39.51,56.52,35.63,50.04
Total Current Liabilities,172.65,186.35,203.96,240.01,294.93
Total Long Term Debt,0.00,5.69,15.34,12.05,0.44
Total Debt,91.63,109.50,104.12,150.06,169.81
Deferred Income Tax,0.07,0.24,2.46,2.60,2.18
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,172.71,192.28,221.76,254.66,297.55
"Common Stock, Total",193.80,193.80,209.54,209.54,209.54
Retained Earnings (Accumulated Deficit),-46.59,-24.56,0.12,15.62,-146.85
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,-1.25,-1.58,-1.96
Total Equity,147.21,169.25,208.41,223.58,60.74
Total Liabilities & Shareholders' Equity,319.92,361.53,430.17,478.24,358.29
Total Common Shares Outstanding,295.01,295.01,324.51,324.51,324.51
"Tangible Book Value per Share, Common Eq",0.47,0.55,0.62,0.66,0.18
