Fiscal Year,2013,2014,2015,2016,2017
Period Ended,31 Aug 2013,31 Aug 2014,31 Aug 2015,31 Aug 2016,31 Aug 2017
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,275.12,268.62,270.11,324.89,116.21
Total Revenue,275.12,268.62,270.11,324.89,116.21
"Selling/General/Admin. Expenses, Total",13.21,16.76,30.11,29.10,26.81
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,-0.03,-3.66,2.68,7.77
"Other Operating Expenses, Total",-0.61,-0.67,-1.17,-0.95,-0.65
Total Operating Expense,237.70,233.10,235.27,300.57,210.26
Operating Income,37.43,35.52,34.85,24.32,-94.05
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.54,-4.44,-4.91,-4.71,-8.54
"Other, Net",0,0,0,0,-60.39
Net Income Before Taxes,34.88,31.08,29.93,19.61,-162.98
Provision for Income Taxes,3.45,4.42,2.78,1.82,-0.51
Net Income After Taxes,31.43,26.67,27.15,17.79,-162.47
Net Income Before Extra. Items,31.43,26.67,27.15,17.79,-162.47
Net Income,31.43,26.67,27.15,17.79,-162.47
Income Available to Com Excl ExtraOrd,31.43,26.67,27.15,17.79,-162.47
Income Available to Com Incl ExtraOrd,31.43,26.67,27.15,17.79,-162.47
Diluted Net Income,31.43,26.67,27.15,17.79,-162.47
Diluted Weighted Average Shares,268.36,295.01,322.25,324.51,324.51
Diluted EPS Excluding ExtraOrd Items,0.12,0.09,0.08,0.05,-0.50
DPS - Common Stock Primary Issue,0.02,0.01,0.01,0,0
Diluted Normalised EPS,0.12,0.09,0.07,0.06,-0.48
