Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,74.07,73.77,79.17,58.05,-65.98
Depreciation/Depletion,0,0,0,0,0
Non-Cash Items,-47.16,-18.70,9.28,50.57,186.56
Cash Taxes Paid,0,0.99,0.26,1.15,1.92
Changes in Working Capital,-15.87,-11.31,-25.82,-22.45,-38.54
Cash from Operating Activities,11.04,43.75,62.63,86.17,82.04
Capital Expenditures,0,0,0,0,0
"Other Investing Cash Flow Items, Total",-758.88,-434.29,-399.12,-355.51,-24.01
Cash from Investing Activities,-758.88,-434.29,-399.12,-355.51,-24.01
Total Cash Dividends Paid,0,-42.49,-58.69,-99.37,-70.74
"Issuance (Retirement) of Stock, Net",519.20,288.52,196.48,236.66,0.00
Cash from Financing Activities,786.31,401.71,340.92,275.99,-32.16
Foreign Exchange Effects,-0.03,0.07,-0.01,0.01,0.05
Net Change in Cash,38.43,11.24,4.42,6.66,25.93
