Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,38.43,49.67,54.09,60.75,86.67
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,38.43,49.67,54.09,60.75,86.67
"Accounts Receivable - Trade, Net",0.54,1.48,5.16,3.16,3.84
"Total Receivables, Net",2.31,5.91,9.07,7.61,6.93
Prepaid Expenses,0.68,0.82,1.00,1.21,1.66
"Other Current Assets, Total",0,0,0,1.41,0.00
Total Current Assets,41.42,56.40,64.17,70.97,95.26
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0,0,0
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,833.80,1312.80,1738.70,2095.00,1992.80
Total Assets,875.22,1369.20,1802.87,2166.46,2088.06
Accounts Payable,0.05,0.50,0.16,1.75,0.62
Accrued Expenses,7.99,5.36,11.70,10.57,10.65
Notes Payable/Short Term Debt,0.00,0.00,0.00,2.69,2.87
"Other Current liabilities, Total",1.99,13.38,7.11,16.96,10.83
Total Current Liabilities,10.03,19.23,128.87,110.91,258.56
Total Long Term Debt,294.59,458.94,557.41,733.18,618.81
Total Debt,294.59,458.94,667.30,814.81,855.26
Deferred Income Tax,22.39,37.20,50.90,59.71,36.28
"Other Liabilities, Total",1.21,1.72,1.62,4.48,16.52
Total Liabilities,328.22,517.10,738.80,908.28,930.17
"Common Stock, Total",495.33,765.00,942.27,1148.32,1138.31
Retained Earnings (Accumulated Deficit),51.67,87.10,121.79,109.86,19.58
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,547.01,852.11,1064.06,1258.18,1157.89
Total Liabilities & Shareholders' Equity,875.22,1369.20,1802.87,2166.46,2088.06
Total Common Shares Outstanding,688.15,1049.50,1284.06,1573.46,1591.66
"Tangible Book Value per Share, Common Eq",0.79,0.81,0.83,0.80,0.73
