Fiscal Year,2017,2017.1,2018,2019,2020
Period Ended,31 Mar 2017,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,Interim Report,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-18.73,102.11,72.40,-53.32,-148.26
Depreciation/Depletion,2.06,0.71,2.97,5.23,4.41
Non-Cash Items,-5.91,32.06,21.92,105.37,110.76
Cash Taxes Paid,0,13.08,10.53,8.59,0.90
Changes in Working Capital,19.48,-105.83,-95.34,-28.28,29.58
Cash from Operating Activities,-3.06,29.59,5.09,32.65,-2.24
Capital Expenditures,-1.83,-16.53,-1.78,-33.59,-0.26
"Other Investing Cash Flow Items, Total",0.08,-19.79,-51.81,-39.90,0.00
Cash from Investing Activities,-1.75,-36.32,-53.60,-73.50,-0.26
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",2.13,16.11,0,25.94,0
Cash from Financing Activities,6.59,16.07,48.84,18.74,0.12
Foreign Exchange Effects,-0.10,0.11,-0.30,1.05,0.46
Net Change in Cash,1.69,9.45,0.04,-21.06,-1.93
