Fiscal Year,2017,2017.1,2018,2019,2020
Period Ended,31 Mar 2017,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,15 Months,12 Months,12 Months,12 Months
Source,Interim Report,ARS,ARS,ARS,PRESS
Revenue,27.84,183.89,142.59,141.20,3.09
Total Revenue,27.84,183.89,142.59,141.20,3.09
"Selling/General/Admin. Expenses, Total",11.15,22.44,43.30,137.08,148.63
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,-3.64,0
"Other Operating Expenses, Total",9.63,11.82,-1.57,-4.95,-7.54
Total Operating Expense,46.52,81.76,63.75,171.35,146.01
Operating Income,-18.68,102.13,78.85,-30.15,-142.92
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.05,-0.02,-6.45,-23.17,-5.34
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-18.73,102.11,72.40,-53.32,-148.26
Provision for Income Taxes,0.51,32.01,15.84,-7.72,3.29
Net Income After Taxes,-19.25,70.10,56.56,-45.61,-151.54
Net Income Before Extra. Items,-18.82,70.11,56.59,-44.80,-152.37
Net Income,-18.82,70.11,56.59,-44.80,-152.37
Income Available to Com Excl ExtraOrd,-18.82,70.11,56.59,-44.80,-152.37
Income Available to Com Incl ExtraOrd,-18.82,70.11,56.59,-44.80,-152.37
Diluted Net Income,-18.82,70.11,56.59,-44.80,-152.37
Diluted Weighted Average Shares,169.95,1102.71,1273.46,1422.87,1832.10
Diluted EPS Excluding ExtraOrd Items,-0.11,0.06,0.04,-0.03,-0.08
DPS - Common Stock Primary Issue,0,0.00,0,0,0
Diluted Normalised EPS,-0.11,0.06,0.04,-0.00,-0.09
