Fiscal Year,2017,2017.1,2018,2019,2020
Period Ended,31 Mar 2017,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,Interim Report,ARS,ARS,ARS,PRESS
Cash,0,0,0,0,0
Short Term Investments,0,12.95,6.70,0.00,0
Cash and Short Term Investments,4.16,23.44,29.48,3.22,1.30
"Accounts Receivable - Trade, Net",12.49,26.76,30.87,10.28,7.14
"Total Receivables, Net",13.48,27.57,34.34,10.28,7.14
Prepaid Expenses,2.09,9.40,19.62,25.85,2.11
"Other Current Assets, Total",0,8.24,5.75,4.02,226.54
Total Current Assets,29.98,257.91,279.90,270.66,580.47
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",15.53,103.76,105.08,129.07,61.06
"Goodwill, Net",3.91,0,0,0,0
"Intangibles, Net",2.05,97.11,93.89,23.18,0.43
Long Term Investments,0,142.32,193.36,231.16,0.00
Total Assets,51.48,696.42,802.14,793.82,641.96
Accounts Payable,12.66,159.38,119.08,70.84,302.78
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",18.14,193.62,198.53,98.52,141.96
Total Current Liabilities,30.88,353.05,360.98,213.93,489.43
Total Long Term Debt,0.00,0.04,1.85,0.00,0
Total Debt,0.08,0.09,45.22,44.57,44.69
Deferred Income Tax,0,23.65,19.93,1.64,1.31
"Other Liabilities, Total",0,82.62,125.31,275.94,0.00
Total Liabilities,30.62,459.50,508.15,490.68,490.74
"Common Stock, Total",21.23,108.04,112.09,176.24,176.24
Retained Earnings (Accumulated Deficit),-0.37,115.82,166.50,121.82,-25.02
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0.17,-0.01,1.26,0
Total Equity,20.86,236.92,293.99,303.14,151.22
Total Liabilities & Shareholders' Equity,51.48,696.42,802.14,793.82,641.96
Total Common Shares Outstanding,170.89,1268.31,1302.46,1832.09,1832.09
"Tangible Book Value per Share, Common Eq",0.09,0.11,0.15,0.15,0.08
