Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,47.97,28.32,-2.42,8.86,3.98
Depreciation/Depletion,46.63,50.43,58.87,64.76,63.17
Non-Cash Items,15.16,11.33,18.16,17.67,12.80
Cash Taxes Paid,9.20,4.38,0.44,0.75,1.70
Changes in Working Capital,-36.95,-10.74,-81.91,-88.57,-87.89
Cash from Operating Activities,72.81,79.35,-7.30,2.71,-7.94
Capital Expenditures,-89.49,-102.69,-23.49,-34.96,-27.28
"Other Investing Cash Flow Items, Total",21.49,0.76,0.87,5.20,1.19
Cash from Investing Activities,-67.99,-101.93,-22.61,-29.76,-26.09
Total Cash Dividends Paid,-4.06,-4.17,-1.21,0.00,-0.89
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-3.73,33.00,-20.48,86.76,-25.98
Foreign Exchange Effects,0.70,-0.76,0.53,0.13,-0.30
Net Change in Cash,1.79,9.65,-49.86,59.84,-60.30
