Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,61.27,74.01,46.13,34.81,34.61
"Accounts Receivable - Trade, Net",3.35,2.72,2.24,2.30,4.44
"Total Receivables, Net",114.66,83.03,69.92,30.74,86.57
Prepaid Expenses,33.72,22.73,17.98,5.41,6.21
"Other Current Assets, Total",8.32,8.41,9.93,8.13,9.91
Total Current Assets,218.05,188.28,144.08,79.22,137.38
"Property/Plant/Equipment, Total - Gross",434.93,494.15,523.95,525.67,559.20
"Accumulated Depreciation, Total",-72.28,-76.03,-82.35,-79.70,-91.07
"Property/Plant/Equipment, Total - Net",362.65,418.12,441.60,445.96,468.12
"Goodwill, Net",116.23,116.23,116.24,104.74,104.65
"Intangibles, Net",2.52,2.81,2.72,1.83,1.03
Long Term Investments,485.30,496.53,549.06,545.95,456.14
Total Assets,1189.33,1228.16,1260.09,1241.84,1173.79
Accounts Payable,0,0,11.89,3.28,7.51
Accrued Expenses,0,0,13.51,21.55,14.10
Notes Payable/Short Term Debt,0.00,0.00,13.07,15.77,5.84
"Other Current liabilities, Total",37.78,3.77,22.79,30.28,43.79
Total Current Liabilities,181.90,253.83,259.85,194.27,234.33
Total Long Term Debt,278.90,269.62,171.12,256.68,176.93
Total Debt,366.32,442.71,382.79,395.84,345.86
Deferred Income Tax,53.00,60.68,81.66,63.64,56.98
"Other Liabilities, Total",56.57,23.79,19.73,31.19,23.97
Total Liabilities,661.13,701.01,638.50,607.03,555.98
"Common Stock, Total",481.79,481.79,554.34,554.34,554.34
Retained Earnings (Accumulated Deficit),98.17,94.63,88.20,125.64,118.16
Treasury Stock - Common,-39.68,-39.68,-39.68,-39.68,-39.68
Unrealised Gain (Loss),7.02,7.44,11.57,20.15,8.30
"Other Equity, Total",-19.09,-17.02,7.17,-25.64,-23.31
Total Equity,528.20,527.15,621.59,634.81,617.81
Total Liabilities & Shareholders' Equity,1189.33,1228.16,1260.09,1241.84,1173.79
Total Common Shares Outstanding,1068.21,1068.21,1045.30,1458.45,1458.45
"Tangible Book Value per Share, Common Eq",0.38,0.38,0.48,0.36,0.35
