Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,18 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,92.11,144.24,86.68,73.79,53.36
Total Revenue,92.11,144.24,86.68,73.79,53.36
"Selling/General/Admin. Expenses, Total",16.10,22.15,13.61,11.76,9.24
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.36,-0.46,2.11,-0.53,0
"Other Operating Expenses, Total",-0.29,1.17,-0.34,-1.33,-3.90
Total Operating Expense,95.96,138.36,90.56,74.82,52.13
Operating Income,-3.84,5.88,-3.88,-1.03,1.23
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-3.03,-1.94,-0.99,-0.47
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-3.84,2.85,-5.82,-2.02,0.76
Provision for Income Taxes,0.13,1.35,0.37,-0.74,-0.44
Net Income After Taxes,-3.97,1.51,-6.20,-1.28,1.20
Net Income Before Extra. Items,-4.06,0.65,-6.48,-1.28,1.20
Net Income,-4.06,0.65,-6.48,-1.28,1.20
Income Available to Com Excl ExtraOrd,-4.06,0.65,-6.48,-1.28,1.20
Income Available to Com Incl ExtraOrd,-4.06,0.65,-6.48,-1.28,1.20
Diluted Net Income,-4.06,0.65,-6.48,-1.28,1.20
Diluted Weighted Average Shares,114.75,114.39,114.01,114.01,114.01
Diluted EPS Excluding ExtraOrd Items,-0.04,0.01,-0.06,-0.01,0.01
DPS - Common Stock Primary Issue,0.00,0.02,0.00,0,0.01
Diluted Normalised EPS,-0.03,0.00,-0.04,-0.01,0.01
