Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,279.09,197.31,164.82,153.02,4.93
Depreciation/Depletion,0.04,0.04,0.04,0.01,0.01
Non-Cash Items,-171.57,-83.52,-41.78,-20.60,121.81
Cash Taxes Paid,14.05,6.67,4.49,6.38,7.04
Changes in Working Capital,-14.70,-5.67,-14.18,-42.40,-22.28
Cash from Operating Activities,108.18,119.97,117.07,92.58,104.46
Capital Expenditures,-0.04,0,-0.01,-0.01,0
"Other Investing Cash Flow Items, Total",310.06,-2.60,479.68,388.17,-219.88
Cash from Investing Activities,310.03,-2.60,479.67,388.17,-219.88
Total Cash Dividends Paid,-182.56,-156.94,-181.39,-188.28,-141.92
"Issuance (Retirement) of Stock, Net",0.00,0.00,-32.82,-82.13,-1.55
Cash from Financing Activities,-269.33,-181.40,-526.60,-617.73,140.88
Foreign Exchange Effects,5.58,-2.72,-0.80,-5.05,4.72
Net Change in Cash,154.46,-66.76,69.35,-142.04,30.19
