Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,161.25,164.52,165.86,164.05,170.22
Total Revenue,161.25,164.52,165.86,164.05,170.22
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,15.31,11.80,8.16,2.55,0.00
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",-16.75,-12.83,-8.62,-2.69,0.00
Total Operating Expense,-117.84,-32.79,1.03,11.04,165.30
Operating Income,279.09,197.31,164.82,153.02,4.93
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,279.09,197.31,164.82,153.02,4.93
Provision for Income Taxes,21.31,17.16,10.24,11.35,4.65
Net Income After Taxes,257.79,180.15,154.59,141.67,0.28
Net Income Before Extra. Items,257.68,180.08,153.63,127.40,-5.92
Net Income,257.68,180.08,153.63,127.40,-5.92
Income Available to Com Excl ExtraOrd,250.19,172.61,146.16,119.93,-15.11
Income Available to Com Incl ExtraOrd,250.19,172.61,146.16,119.93,-15.11
Diluted Net Income,250.19,172.61,146.16,119.93,-15.11
Diluted Weighted Average Shares,3259.94,3336.89,3397.64,3482.52,3391.14
Diluted EPS Excluding ExtraOrd Items,0.08,0.05,0.04,0.03,-0.00
DPS - Common Stock Primary Issue,0.06,0.05,0.05,0.05,0.05
Diluted Normalised EPS,0.08,0.05,0.04,0.03,-0.00
