Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.24,15.55,1.14,-0.96,0.68
Depreciation/Depletion,1.33,5.46,0.95,0.75,0.85
Non-Cash Items,1.03,-22.71,-2.90,0.29,-1.58
Cash Taxes Paid,0.31,0.17,0.07,0.11,0.05
Changes in Working Capital,0.62,1.53,2.77,-0.74,2.16
Cash from Operating Activities,0.74,-0.18,1.95,-0.66,2.11
Capital Expenditures,-0.36,-0.12,-0.92,-0.25,-0.45
"Other Investing Cash Flow Items, Total",0.99,20.63,5.66,5.86,3.22
Cash from Investing Activities,0.62,20.51,4.74,5.61,2.76
Total Cash Dividends Paid,-0.41,-0.41,-0.41,-2.84,-4.46
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-1.05,-0.60,-0.47,-2.87,-4.73
Foreign Exchange Effects,-2.00,-0.14,0.13,-0.20,0.11
Net Change in Cash,-1.69,19.60,6.35,1.88,0.25
