Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,15 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,19.27,50.17,89.47,64.70,33.25
Total Revenue,19.27,50.17,89.47,64.70,33.25
"Selling/General/Admin. Expenses, Total",15.24,16.86,76.45,31.95,11.33
Depreciation/Amortisation,10.05,20.97,19.75,23.93,13.31
Unusual Expense (Income),87.17,34.65,26.40,26.65,182.94
"Other Operating Expenses, Total",45.26,9.51,-10.73,6.27,10.87
Total Operating Expense,157.72,81.99,111.86,88.79,218.44
Operating Income,-138.45,-31.82,-22.39,-24.09,-185.19
"Interest Inc.(Exp.),Net-Non-Op., Total",-11.10,-9.87,-4.52,-4.20,-9.11
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-149.55,-41.69,-26.90,-28.29,-194.30
Provision for Income Taxes,0.03,0.43,7.99,2.42,-3.08
Net Income After Taxes,-149.58,-42.12,-34.90,-30.71,-191.22
Net Income Before Extra. Items,-148.68,-45.85,-49.94,-28.19,-105.39
Net Income,-111.62,-45.85,-49.94,-28.19,-105.39
Income Available to Com Excl ExtraOrd,-148.68,-45.85,-49.94,-28.19,-105.39
Income Available to Com Incl ExtraOrd,-111.62,-45.85,-49.94,-28.19,-105.39
Diluted Net Income,-111.62,-45.85,-49.94,-28.19,-105.39
Diluted Weighted Average Shares,9105.16,10917.81,12563.12,14310.67,14310.67
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.00,-0.00,-0.00,-0.01
DPS - Common Stock Primary Issue,0,0,0,0.00,0
Diluted Normalised EPS,-0.01,-0.00,-0.00,-0.00,0.00
