Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,160.50,65.88,67.20,131.51,82.18
Depreciation/Depletion,24.24,28.35,35.07,52.30,47.97
Non-Cash Items,-8.11,14.43,15.50,45.44,61.69
Cash Taxes Paid,27.22,21.01,23.48,25.83,27.02
Changes in Working Capital,-89.45,-113.40,-4.52,-12.00,-53.63
Cash from Operating Activities,95.15,11.70,130.29,235.38,151.93
Capital Expenditures,-47.71,-54.52,-52.76,-43.76,-23.57
"Other Investing Cash Flow Items, Total",-34.15,12.90,6.20,9.01,25.44
Cash from Investing Activities,-81.86,-41.62,-46.56,-34.75,1.88
Total Cash Dividends Paid,-17.49,-17.44,-17.77,-20.16,-17.05
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,2.19,16.87,-55.13,-84.57,-49.28
Foreign Exchange Effects,14.32,-7.80,9.95,2.79,-11.88
Net Change in Cash,29.79,-20.85,38.54,118.85,92.64
