Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,281.08,298.22,335.28,448.42,538.07
Short Term Investments,28.09,16.75,16.48,20.06,0.00
Cash and Short Term Investments,309.16,314.97,351.76,468.48,538.07
"Accounts Receivable - Trade, Net",257.65,304.71,259.95,288.63,324.85
"Total Receivables, Net",266.23,315.29,274.79,301.01,341.11
Prepaid Expenses,4.13,0,0,0,0
"Other Current Assets, Total",1.76,0.00,0.00,2.61,6.59
Total Current Assets,890.64,1077.70,1059.91,1163.57,1247.23
"Property/Plant/Equipment, Total - Gross",483.03,0,0,0,0
"Accumulated Depreciation, Total",-193.37,0,0,0,0
"Property/Plant/Equipment, Total - Net",289.67,326.60,327.19,423.49,366.34
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",81.46,76.82,66.24,55.86,37.04
Long Term Investments,13.36,7.51,8.28,8.61,8.09
Total Assets,1355.86,1567.50,1544.71,1653.01,1674.17
Accounts Payable,110.60,156.91,136.61,132.05,138.03
Accrued Expenses,51.74,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,109.46,99.16
"Other Current liabilities, Total",111.16,197.81,185.65,219.41,219.20
Total Current Liabilities,380.37,539.93,475.75,481.09,479.38
Total Long Term Debt,16.86,31.42,27.12,65.13,48.55
Total Debt,123.73,216.62,180.62,194.76,170.70
Deferred Income Tax,40.14,25.13,24.43,24.06,24.36
"Other Liabilities, Total",92.60,95.32,92.85,91.21,93.62
Total Liabilities,529.97,691.79,620.16,661.48,645.91
"Common Stock, Total",154.62,154.62,154.62,154.62,154.62
Retained Earnings (Accumulated Deficit),658.55,704.62,741.02,804.80,854.98
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.14,0.31,-0.68,0.50,-2.40
"Other Equity, Total",12.59,16.15,29.60,31.60,21.06
Total Equity,825.89,875.70,924.56,991.53,1028.26
Total Liabilities & Shareholders' Equity,1355.86,1567.50,1544.71,1653.01,1674.17
Total Common Shares Outstanding,356.54,356.54,356.54,356.54,356.54
"Tangible Book Value per Share, Common Eq",2.09,2.24,2.41,2.62,2.78
