Fiscal Year,2015,2017,2018,2019,2020
Period Ended,30 Sep 2015,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,22 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,113.71,211.10,200.51,217.08,332.03
Total Revenue,113.71,211.10,200.51,217.08,332.03
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",3.81,11.69,2.06,2.75,4.97
Total Operating Expense,50.88,81.53,-18.67,-28.56,-198.45
Operating Income,62.83,129.57,219.18,245.64,530.48
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,62.83,129.57,219.18,245.64,530.48
Provision for Income Taxes,11.09,25.48,35.19,40.15,71.72
Net Income After Taxes,51.74,104.09,183.99,205.48,458.76
Net Income Before Extra. Items,51.74,104.09,183.06,203.43,454.72
Net Income,51.74,104.09,183.06,203.43,454.72
Income Available to Com Excl ExtraOrd,51.74,104.09,183.06,203.43,454.72
Income Available to Com Incl ExtraOrd,51.74,104.09,183.06,203.43,454.72
Diluted Net Income,51.74,104.09,183.06,203.43,454.72
Diluted Weighted Average Shares,1440.99,1472.28,1704.87,2071.43,2787.95
Diluted EPS Excluding ExtraOrd Items,0.04,0.07,0.11,0.10,0.16
DPS - Common Stock Primary Issue,0,0.07,0.07,0.07,0.05
Diluted Normalised EPS,0.04,0.07,0.11,0.10,0.16
