Fiscal Year,2015,2017,2018,2019,2020
Period Ended,30 Sep 2015,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,36.95,57.46,108.22,115.75,168.65
"Accounts Receivable - Trade, Net",0,1.24,9.93,12.78,30.60
"Total Receivables, Net",0,2.31,9.93,12.78,30.60
Prepaid Expenses,0,3.55,0,0,0
"Other Current Assets, Total",7.77,0.47,0.29,18.10,148.97
Total Current Assets,44.72,63.78,118.44,146.63,348.23
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",0,0,0,0.00,0.28
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1642.90,1957.27,3050.35,3204.56,6352.24
Total Assets,1695.46,2024.20,3169.95,3353.10,6734.65
Accounts Payable,0,0.35,0,0,0
Accrued Expenses,0,10.29,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",6.38,36.49,7.06,10.37,20.95
Total Current Liabilities,6.38,47.13,273.41,244.31,784.95
Total Long Term Debt,428.33,588.02,865.59,928.29,1943.55
Total Debt,428.33,588.02,1090.57,1114.24,2620.81
Deferred Income Tax,7.84,16.75,37.46,56.44,121.75
"Other Liabilities, Total",0,2.39,3.15,11.76,77.72
Total Liabilities,442.54,654.28,1198.94,1266.87,2964.19
"Common Stock, Total",1286.25,1369.92,1971.01,2086.22,3770.46
Retained Earnings (Accumulated Deficit),-3.57,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-29.76,0,0,0,0
Total Equity,1252.91,1369.92,1971.01,2086.22,3770.46
Total Liabilities & Shareholders' Equity,1695.46,2024.20,3169.95,3353.10,6734.65
Total Common Shares Outstanding,1425.15,1511.48,2022.13,2258.88,3424.07
"Tangible Book Value per Share, Common Eq",0.88,0.91,0.97,0.92,1.10
