Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,111.27,111.96,121.54,113.56,117.43
Total Revenue,111.27,111.96,121.54,113.56,117.43
"Selling/General/Admin. Expenses, Total",2.54,2.25,2.42,4.67,3.25
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0.00,-0.12,0.00,0
"Other Operating Expenses, Total",0.33,0.31,0.26,0.11,0.17
Total Operating Expense,53.72,53.92,71.23,62.18,50.83
Operating Income,57.56,58.04,50.31,51.38,66.60
"Interest Inc.(Exp.),Net-Non-Op., Total",-80.74,-32.81,-18.09,-57.01,-19.84
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-23.19,25.23,32.22,-5.63,46.77
Provision for Income Taxes,0.78,1.31,2.53,2.03,2.14
Net Income After Taxes,-23.97,23.92,29.69,-7.66,44.63
Net Income Before Extra. Items,-23.97,23.92,29.69,-7.66,44.63
Net Income,-23.97,23.92,29.69,-7.66,44.63
Income Available to Com Excl ExtraOrd,-23.97,23.92,24.66,-13.16,39.12
Income Available to Com Incl ExtraOrd,-23.97,23.92,24.66,-13.16,39.12
Diluted Net Income,-23.97,23.92,24.66,-13.16,39.12
Diluted Weighted Average Shares,935.97,981.95,1084.61,1087.14,1116.46
Diluted EPS Excluding ExtraOrd Items,-0.03,0.02,0.02,-0.01,0.04
DPS - Common Stock Primary Issue,0.06,0.06,0.05,0.05,0.05
Diluted Normalised EPS,-0.03,0.02,0.02,-0.01,0.04
