Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,13.56,14.97,33.34,15.26,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,13.56,14.97,33.34,15.26,26.40
"Accounts Receivable - Trade, Net",1.47,1.55,1.89,2.17,1.79
"Total Receivables, Net",2.10,1.89,3.02,4.06,2.61
Prepaid Expenses,2.97,2.54,2.29,3.43,5.12
"Other Current Assets, Total",25.62,69.37,0.75,0.92,21.95
Total Current Assets,44.25,88.77,39.39,23.68,56.08
"Property/Plant/Equipment, Total - Gross",4.91,4.99,4.15,4.15,4.17
"Accumulated Depreciation, Total",-1.80,-2.72,-2.88,-3.37,-3.65
"Property/Plant/Equipment, Total - Net",3.12,2.27,1.27,0.79,0.52
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,1210.90,1137.91,1269.03,1333.94,1355.86
Total Assets,1258.31,1228.95,1309.69,1358.66,1412.47
Accounts Payable,1.89,1.24,2.05,3.56,2.30
Accrued Expenses,10.36,8.75,10.62,11.06,12.58
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",1.63,6.23,2.99,3.98,8.24
Total Current Liabilities,18.50,141.22,43.77,135.07,95.88
Total Long Term Debt,534.24,319.67,442.08,471.39,520.83
Total Debt,538.87,444.66,470.18,587.85,593.59
Deferred Income Tax,0.36,0.35,0.00,0,0
"Other Liabilities, Total",4.06,2.04,9.14,11.25,15.67
Total Liabilities,557.17,463.28,494.99,617.70,632.37
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",701.14,765.67,814.70,740.96,780.09
Total Equity,701.14,765.67,814.70,740.96,780.09
Total Liabilities & Shareholders' Equity,1258.31,1228.95,1309.69,1358.66,1412.47
Total Common Shares Outstanding,940.96,1076.38,1084.61,1092.59,1186.97
"Tangible Book Value per Share, Common Eq",0.75,0.71,0.75,0.68,0.66
