Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS,ARS
Revenue,107.60,109.46,118.45,60.66,143.56
Total Revenue,107.60,109.46,118.45,60.66,143.56
"Selling/General/Admin. Expenses, Total",3.50,3.50,3.61,0,0
Depreciation/Amortisation,0.00,0.00,0.00,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0,0,0,0.00,0
Total Operating Expense,46.96,49.72,54.17,24.56,58.18
Operating Income,60.64,59.74,64.29,36.10,85.38
"Interest Inc.(Exp.),Net-Non-Op., Total",-27.29,-19.99,-20.79,4.97,-59.87
"Other, Net",0,0,0,-0.09,-0.27
Net Income Before Taxes,33.35,39.75,43.50,40.97,25.24
Provision for Income Taxes,8.54,8.68,5.46,7.27,2.03
Net Income After Taxes,24.80,31.08,38.04,33.70,23.21
Net Income Before Extra. Items,24.80,31.08,38.04,33.70,23.21
Net Income,24.80,31.08,38.04,33.70,23.21
Income Available to Com Excl ExtraOrd,24.80,31.08,38.04,33.70,23.21
Income Available to Com Incl ExtraOrd,24.80,31.08,38.04,33.70,23.21
Diluted Net Income,24.80,31.08,38.04,33.70,23.21
Diluted Weighted Average Shares,923.86,923.86,923.86,924.12,1036.32
Diluted EPS Excluding ExtraOrd Items,0.03,0.03,0.04,0.04,0.02
DPS - Common Stock Primary Issue,0,0,0,0.03,0.07
Diluted Normalised EPS,0.03,0.03,0.04,0.04,0.02
