Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,ARS,ARS,ARS,ARS,ARS
Cash,142.99,297.75,693.63,621.79,600.19
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,142.99,297.75,693.63,621.79,600.19
"Accounts Receivable - Trade, Net",953.90,1153.72,1345.67,1584.68,1315.32
"Total Receivables, Net",1140.88,1388.84,1544.98,1925.33,2140.37
Prepaid Expenses,188.13,245.56,199.63,0,0
"Other Current Assets, Total",0.36,0.38,0.45,0,0
Total Current Assets,1527.04,1977.03,2476.97,2571.45,2750.30
"Property/Plant/Equipment, Total - Gross",1123.66,1333.93,1690.82,0,0
"Accumulated Depreciation, Total",-184.16,-255.81,-340.07,0,0
"Property/Plant/Equipment, Total - Net",939.50,1078.12,1350.76,1353.36,1443.22
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,0,0,0,0,0
Total Assets,3176.66,3953.25,4447.45,4614.93,4830.62
Accounts Payable,18.61,23.82,75.34,0,0
Accrued Expenses,10.92,18.06,31.60,0,0
Notes Payable/Short Term Debt,55.50,328.08,354.63,379.06,889.45
"Other Current liabilities, Total",98.60,196.36,137.28,159.45,135.17
Total Current Liabilities,1346.56,1357.68,1202.89,1330.33,1302.37
Total Long Term Debt,0.00,173.43,135.96,2.32,4.95
Total Debt,1218.43,1292.87,1094.62,1070.48,1126.78
Deferred Income Tax,20.24,20.24,20.24,27.74,26.74
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,1369.45,1553.52,1361.12,1361.99,1335.08
"Common Stock, Total",440.95,440.95,755.34,755.34,790.86
Retained Earnings (Accumulated Deficit),1366.26,1958.79,2330.99,2497.59,2704.68
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,0,0
Total Equity,1807.21,2399.74,3086.33,3252.94,3495.55
Total Liabilities & Shareholders' Equity,3176.66,3953.25,4447.45,4614.93,4830.62
Total Common Shares Outstanding,739.97,739.97,979.41,979.41,1149.41
"Tangible Book Value per Share, Common Eq",2.44,3.24,3.15,3.32,3.04
