Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,18.57,25.40,36.16,47.38,8.69
"Accounts Receivable - Trade, Net",39.07,37.74,24.65,9.49,7.37
"Total Receivables, Net",39.07,37.74,24.65,9.82,7.37
Prepaid Expenses,79.53,11.19,96.91,100.71,112.44
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,159.22,86.59,170.97,170.82,136.51
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",42.94,37.64,37.77,10.81,46.58
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",46.58,42.24,46.32,0.00,0.57
Long Term Investments,0,0,0,0,0
Total Assets,256.06,173.55,264.58,212.25,184.81
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,21.36,14.50,0.00,0.00,0.00
"Other Current liabilities, Total",0.39,0.36,0.01,1.26,2.03
Total Current Liabilities,49.64,38.45,40.49,35.47,93.91
Total Long Term Debt,0.00,0.00,65.03,119.83,83.55
Total Debt,21.36,14.50,80.98,134.93,138.61
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",67.61,0.00,0,0,0
Total Liabilities,150.78,38.45,105.52,155.30,177.46
"Common Stock, Total",6.43,6.43,9.64,9.64,9.64
Retained Earnings (Accumulated Deficit),-317.27,-279.59,-287.87,-335.60,-384.11
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-4.43,408.26,437.28,382.91,381.83
Total Equity,105.28,135.10,159.06,56.95,7.36
Total Liabilities & Shareholders' Equity,256.06,173.55,264.58,212.25,184.81
Total Common Shares Outstanding,76.50,76.50,96.42,96.42,96.42
"Tangible Book Value per Share, Common Eq",0.77,1.21,1.17,0.59,0.07
