Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.89,3.12,-7.82,-91.34,-48.39
Depreciation/Depletion,3.96,4.45,3.87,3.36,3.82
Non-Cash Items,7.35,0.79,13.43,84.99,36.38
Cash Taxes Paid,2.09,1.60,2.67,0.41,-0.20
Changes in Working Capital,6.34,-1.13,-18.80,16.41,11.53
Cash from Operating Activities,24.04,10.67,-9.16,13.61,3.35
Capital Expenditures,-2.14,-2.03,-0.55,-0.46,-17.14
"Other Investing Cash Flow Items, Total",-73.38,0.47,-58.60,-55.20,-12.60
Cash from Investing Activities,-75.52,-1.56,-59.16,-55.66,-29.75
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",34.89,0.00,18.87,0.00,0
Cash from Financing Activities,30.96,-2.29,79.28,53.18,-12.29
Foreign Exchange Effects,0.02,0.00,-0.20,0.08,0.00
Net Change in Cash,-20.51,6.83,10.76,11.22,-38.69
