Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,18 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,83.52,79.05,66.90,44.04,61.57
Total Revenue,83.52,79.05,66.90,44.04,61.57
"Selling/General/Admin. Expenses, Total",45.57,38.63,43.76,96.62,47.70
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,9.28,9.63
"Other Operating Expenses, Total",-0.65,-1.05,-1.79,-4.38,-1.45
Total Operating Expense,79.11,74.79,71.76,127.64,95.17
Operating Income,4.41,4.26,-4.86,-83.59,-33.60
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.52,-1.14,-2.96,-7.75,-14.80
"Other, Net",0,-0.00,0,0,0
Net Income Before Taxes,2.89,3.12,-7.82,-91.34,-48.39
Provision for Income Taxes,2.45,1.59,0.46,1.89,0.12
Net Income After Taxes,0.44,1.53,-8.28,-93.24,-48.51
Net Income Before Extra. Items,-2.33,1.36,-8.28,-93.24,-48.51
Net Income,-2.33,1.36,-8.28,-93.24,-48.51
Income Available to Com Excl ExtraOrd,-2.33,1.36,-8.28,-93.24,-48.51
Income Available to Com Incl ExtraOrd,-2.33,1.36,-8.28,-93.24,-48.51
Diluted Net Income,-2.33,1.36,-8.28,-93.24,-48.51
Diluted Weighted Average Shares,71.02,76.50,73.74,96.42,96.42
Diluted EPS Excluding ExtraOrd Items,-0.03,0.02,-0.11,-0.97,-0.50
DPS - Common Stock Primary Issue,0.00,0,0,0,0.00
Diluted Normalised EPS,-0.03,0.02,-0.11,-0.90,-0.44
