Fiscal Year,2014,2015,2016,2017,2018
Period Ended,30 Jun 2014,30 Jun 2015,30 Jun 2016,30 Jun 2017,30 Jun 2018
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.79,-2.60,-5.79,0.73,-3.03
Depreciation/Depletion,1.25,1.13,0.86,0.44,0.47
Non-Cash Items,0.36,1.06,1.80,1.34,0.10
Cash Taxes Paid,-0.02,0.14,0.22,0.08,0.28
Changes in Working Capital,-6.76,2.72,3.20,-11.53,2.57
Cash from Operating Activities,-7.82,2.35,0.08,-9.02,0.11
Capital Expenditures,-0.55,-1.05,-0.07,-0.12,-1.66
"Other Investing Cash Flow Items, Total",0.00,0.01,0.00,0.39,0.02
Cash from Investing Activities,-0.55,-1.04,-0.07,0.27,-1.64
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,5.26,0.00
Cash from Financing Activities,2.88,-2.02,-3.07,9.83,1.06
Foreign Exchange Effects,-0.07,-0.19,-0.17,-0.04,0.07
Net Change in Cash,-5.56,-0.89,-3.23,1.04,-0.41
