Fiscal Year,2014,2015,2016,2017,2018
Period Ended,30 Jun 2014,30 Jun 2015,30 Jun 2016,30 Jun 2017,30 Jun 2018
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,6.06,5.17,2.55,2.99,2.58
"Accounts Receivable - Trade, Net",5.10,4.49,3.15,9.67,5.83
"Total Receivables, Net",5.21,4.49,3.38,9.93,6.15
Prepaid Expenses,0.33,0.14,0.16,0.31,0.26
"Other Current Assets, Total",0,0,0,0,0
Total Current Assets,28.73,21.91,14.24,21.02,13.07
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",1.61,1.47,0.52,0.64,1.47
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.12,0.08,0.00,3.44,3.44
Long Term Investments,0,0,0,0,0
Total Assets,30.45,23.46,14.76,25.10,17.99
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,9.12,7.10,4.64,0.00,0.00
"Other Current liabilities, Total",0.41,0.64,0.85,1.19,1.37
Total Current Liabilities,21.06,17.16,14.29,14.80,13.59
Total Long Term Debt,0.00,0.00,0.00,0.40,1.33
Total Debt,9.12,7.10,4.64,8.66,9.71
Deferred Income Tax,0.07,0.07,0.07,0.32,0.26
"Other Liabilities, Total",0,0.10,0.07,0.01,0.00
Total Liabilities,20.70,16.84,13.99,15.97,15.69
"Common Stock, Total",6.71,6.71,6.71,14.82,14.82
Retained Earnings (Accumulated Deficit),3.23,0.36,-5.41,-4.90,-12.02
Treasury Stock - Common,-0.07,-0.07,-0.07,-0.07,-0.07
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-0.12,-0.38,-0.46,-0.72,-0.43
Total Equity,9.75,6.62,0.77,9.13,2.30
Total Liabilities & Shareholders' Equity,30.45,23.46,14.76,25.10,17.99
Total Common Shares Outstanding,93.27,93.27,93.27,159.47,159.47
"Tangible Book Value per Share, Common Eq",0.10,0.07,0.01,0.04,-0.01
