Fiscal Year,2014,2015,2016,2017,2018
Period Ended,30 Jun 2014,30 Jun 2015,30 Jun 2016,30 Jun 2017,30 Jun 2018
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,172.37,178.50,164.09,26.41,18.35
Total Revenue,172.37,178.50,164.09,26.41,18.35
"Selling/General/Admin. Expenses, Total",20.68,19.67,19.64,6.51,7.94
Depreciation/Amortisation,1.37,1.17,0.87,0,0
Unusual Expense (Income),0.00,0.05,0.13,0,0
"Other Operating Expenses, Total",-2.35,-2.00,-2.63,-4.16,-0.42
Total Operating Expense,175.03,180.92,169.34,25.73,21.04
Operating Income,-2.66,-2.42,-5.25,0.68,-2.68
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.13,-0.18,-0.54,-0.21,-0.35
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-2.79,-2.60,-5.79,0.47,-3.03
Provision for Income Taxes,0.11,0.28,-0.03,0.23,0.04
Net Income After Taxes,-2.90,-2.88,-5.76,0.24,-3.07
Net Income Before Extra. Items,-2.90,-2.88,-5.76,0.18,-3.11
Net Income,-2.90,-2.88,-5.76,0.51,-7.12
Income Available to Com Excl ExtraOrd,-2.90,-2.88,-5.76,0.18,-3.11
Income Available to Com Incl ExtraOrd,-2.90,-2.88,-5.76,0.51,-7.12
Diluted Net Income,-2.90,-2.88,-5.76,0.51,-7.12
Diluted Weighted Average Shares,93.39,93.28,93.28,159.48,159.48
Diluted EPS Excluding ExtraOrd Items,-0.03,-0.03,-0.06,0.00,-0.02
DPS - Common Stock Primary Issue,0.00,0.00,0,0,0
Diluted Normalised EPS,-0.03,-0.03,-0.06,0.00,-0.02
