Fiscal Year,2016,2017,2018,2020,2021
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,15 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,1.76,3.03,9.01,16.74,10.79
Total Revenue,1.76,3.03,9.01,16.74,10.79
"Selling/General/Admin. Expenses, Total",0.63,1.17,2.65,5.31,4.57
Depreciation/Amortisation,0.03,0.03,0.07,0.75,0.69
Unusual Expense (Income),0,0.00,1.06,0,0
"Other Operating Expenses, Total",0.32,0.36,0.75,1.23,-0.24
Total Operating Expense,0.98,2.04,7.84,12.21,8.15
Operating Income,0.79,0.99,1.17,4.53,2.64
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.01,-0.00,-0.00,0.12,1.22
"Other, Net",0,0,0,0,0
Net Income Before Taxes,0.77,0.99,1.17,4.65,3.86
Provision for Income Taxes,0.03,0.05,0.26,0.55,0.30
Net Income After Taxes,0.74,0.94,0.91,4.09,3.55
Net Income Before Extra. Items,0.74,0.94,0.82,3.64,3.49
Net Income,0.74,0.94,0.82,3.64,3.49
Income Available to Com Excl ExtraOrd,0.74,0.94,0.82,3.64,3.49
Income Available to Com Incl ExtraOrd,0.74,0.94,0.82,3.64,3.49
Diluted Net Income,0.74,0.94,0.82,3.64,3.49
Diluted Weighted Average Shares,104.01,104.01,98.46,131.21,131.21
Diluted EPS Excluding ExtraOrd Items,0.01,0.01,0.01,0.03,0.03
DPS - Common Stock Primary Issue,0,0,0.01,0.02,0.02
Diluted Normalised EPS,0.01,0.01,0.02,0.03,0.03
